age,gender,program,average.first.period,scholarship.perc,loan.perc,retention,dropout.semester,socioeconomic.level,foreign,social.lag
0.1578947368421053,1,6,0.785,0.0,0.8333333333333334,0,1.0,5,0,1
0.368421052631579,0,7,0.81,0.0,0.0,0,1.0,5,1,1
0.3157894736842106,0,4,0.89,0.0,0.0,0,0.5,5,2,1
0.2631578947368421,1,7,0.6833333333,0.0,0.0,0,0.5,3,0,1
0.2631578947368421,1,7,0.8,0.0,0.0,0,1.0,6,2,1
0.2631578947368421,1,5,0.01,0.0,0.0,0,0.5,6,2,1
0.2105263157894736,1,7,0.85,0.0,0.0,0,0.5,5,0,1
0.3157894736842106,1,1,0.95,0.0,0.0,0,1.0,6,0,1
0.1578947368421053,1,7,0.925,0.0,0.0,0,0.5,6,0,1
0.3157894736842106,1,18,0.87,0.0,0.0,0,0.75,6,1,1
0.2105263157894736,0,14,0.93,0.0,0.0,0,0.5,5,0,1
0.2631578947368421,1,1,0.0,0.0,0.0,0,1.0,5,0,1
0.2631578947368421,1,14,0.8833333333000001,0.0,0.0,0,1.0,6,0,1
0.3157894736842106,1,14,0.8366666667,0.0,0.0,0,1.0,6,0,1
0.2631578947368421,1,14,0.8866666667,0.0,0.0,0,0.5,6,2,1
0.3157894736842106,1,4,0.5975,0.0,0.0,0,1.0,6,0,1
0.2631578947368421,1,7,0.64,0.0,0.0,0,0.5,1,2,2
0.2105263157894736,1,0,0.87,0.0,0.0,0,0.5,6,0,1
0.2631578947368421,0,1,0.96,0.0,0.0,0,0.5,6,2,1
0.2631578947368421,1,7,0.785,0.0,0.0,0,1.0,3,2,1
0.4210526315789473,0,3,0.95,0.0,0.0,0,0.5,6,2,1
0.3157894736842106,0,14,0.0,0.35,0.8333333333333334,0,0.25,5,0,1
0.2105263157894736,0,7,0.885,0.0,0.0,0,1.0,5,1,1
0.1578947368421053,0,7,0.885,0.0,0.0,0,0.5,5,0,1
0.2105263157894736,1,5,0.8150000000000001,0.0,0.0,0,0.75,4,2,1
0.4210526315789473,1,14,0.4733333333,0.0,0.0,0,1.0,5,0,1
0.2105263157894736,0,14,0.0,0.0,0.0,0,0.25,6,0,1
0.2631578947368421,1,7,0.94,0.5,0.0,0,0.5,3,2,2
0.2105263157894736,1,6,0.0,0.0,0.0,0,0.25,5,0,1
0.2631578947368421,1,1,0.86,0.0,0.0,0,1.0,6,0,1
0.6842105263157894,1,3,0.0,0.0,0.0,0,0.25,5,0,1
0.2631578947368421,1,14,0.8433333333,0.0,0.0,0,1.0,6,0,1
0.2631578947368421,0,1,0.75,0.0,0.0,0,0.5,6,0,1
0.4210526315789473,0,14,0.8133333333,0.0,0.0,0,0.5,6,0,1
0.2105263157894736,1,7,0.925,0.0,0.0,0,0.75,5,0,1
